country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow,closedByAssumption
GB,1000,150000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,197712,197712,false,,,,,,buyee,198256,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,1000,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,325523,325523,false,,,,,,buyee,325683,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,2000,3000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,11713,12409,false,,,,,,buyee,13392,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,2000,10000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,20418,21114,false,,,,,,buyee,22046,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,2000,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,46354,47050,false,,,,,,buyee,48058,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,2000,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,84697,85393,false,,,,,,buyee,86190,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,2000,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,135822,136518,false,,,,,,buyee,137033,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,2000,150000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,199727,200423,false,,,,,,buyee,200586,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,2000,250000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,327539,328235,false,,,,,,buyee,327693,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,3000,3000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,12578,15361,false,,,,,,buyee,13392,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,3000,10000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,21283,24066,false,,,,,,buyee,22046,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,3000,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,47244,50027,false,,,,,,buyee,48058,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,3000,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,85587,88370,false,,,,,,buyee,86190,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,3000,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,136712,139495,false,,,,,,buyee,137033,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,3000,150000,1,0,yahoo-auctions,buyee,courier-buyee-air,200586,203466,false,,,,,,zenmarket,200617,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,3000,250000,1,0,yahoo-auctions,buyee,courier-buyee-air,327693,330573,false,,,,,,zenmarket,328428,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,5000,3000,1,0,yahoo-auctions,zenmarket,courier-fedex-lowcost,14987,24967,false,,,,,,buyee,16952,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,5000,10000,1,0,yahoo-auctions,zenmarket,courier-fedex-lowcost,23691,33671,false,,,,,,buyee,25606,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,5000,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,50800,57756,false,,,,,,buyee,51718,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,5000,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,89144,96100,false,,,,,,buyee,89851,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,5000,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,140268,147224,false,,,,,,buyee,140693,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,5000,150000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,204174,211130,false,,,,,,buyee,204247,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,5000,250000,1,0,yahoo-auctions,buyee,courier-buyee-air,331354,337362,false,,,,,,zenmarket,331812,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,8000,3000,1,0,yahoo-auctions,zenmarket,courier-fedex-lowcost,14987,24967,false,,,,,,buyee,16952,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,8000,10000,1,0,yahoo-auctions,zenmarket,courier-fedex-lowcost,23691,33671,false,,,,,,buyee,25606,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,8000,30000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,50800,57756,false,,,,,,buyee,51718,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,8000,60000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,89144,96100,false,,,,,,buyee,89851,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,8000,100000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,140268,147224,false,,,,,,buyee,140693,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,8000,150000,1,0,yahoo-auctions,zenmarket,courier-ecms-express,204174,211130,false,,,,,,buyee,204247,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
GB,8000,250000,1,0,yahoo-auctions,buyee,courier-buyee-air,331354,337362,false,,,,,,zenmarket,331812,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
DE,200,3000,1,0,yahoo-auctions,zenmarket,small-packet-air,8742,8742,false,,,,,,fromjapan,9124,
DE,200,10000,1,0,yahoo-auctions,zenmarket,small-packet-air,17374,17374,false,,,,,,fromjapan,17708,
DE,200,30000,1,0,yahoo-auctions,fromjapan,small-packet-air,43158,43158,false,,,,,,buyee,43469,
DE,200,60000,1,0,yahoo-auctions,buyee,small-packet-air,81721,81721,false,,,,,,zenmarket,82146,
DE,200,100000,1,0,yahoo-auctions,buyee,small-packet-air,132722,132722,false,,,,,,zenmarket,133149,
DE,200,150000,1,0,yahoo-auctions,buyee,small-packet-air,196476,196476,false,,,,,,zenmarket,196901,
