country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow
FR,5000,10000,1,0,mercari,buyee,courier-buyee-air,26260,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,29902
FR,5000,30000,1,0,mercari,buyee,courier-buyee-air,52293,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,55746
FR,5000,60000,1,0,mercari,buyee,courier-buyee-air,90858,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,94310
FR,5000,100000,1,0,mercari,buyee,courier-buyee-air,142276,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,145729
FR,5000,150000,1,0,mercari,buyee,courier-buyee-air,206550,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,210003
FR,5000,250000,1,0,mercari,buyee,courier-buyee-air,335097,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,338550
FR,8000,3000,1,0,mercari,buyee,courier-buyee-air,17606,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,21197
FR,8000,10000,1,0,mercari,buyee,courier-buyee-air,26260,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,29902
FR,8000,30000,1,0,mercari,buyee,courier-buyee-air,52293,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,55746
FR,8000,60000,1,0,mercari,buyee,courier-buyee-air,90858,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,94310
FR,8000,100000,1,0,mercari,buyee,courier-buyee-air,142276,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,145729
FR,8000,150000,1,0,mercari,buyee,courier-buyee-air,206550,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,210003
FR,8000,250000,1,0,mercari,buyee,courier-buyee-air,335097,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,338550
AU,200,3000,1,0,mercari,fromjapan,small-packet-air,6509,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,6850
AU,200,10000,1,0,mercari,fromjapan,small-packet-air,14488,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,14829
AU,200,30000,1,0,mercari,fromjapan,small-packet-air,37286,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,37627
AU,200,60000,1,0,mercari,buyee,small-packet-air,71824,71824,false,,,,,,zenmarket,71990
AU,200,100000,1,0,mercari,buyee,small-packet-air,117420,117420,false,,,,,,zenmarket,117585
AU,200,150000,1,0,mercari,buyee,small-packet-air,188388,188388,false,,,,,,fromjapan,188635
AU,200,250000,1,0,mercari,fromjapan,courier-ecms,304562,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,304630
AU,500,3000,1,0,mercari,fromjapan,small-packet-air,7124,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,7409
AU,500,10000,1,0,mercari,fromjapan,small-packet-air,15104,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,15389
AU,500,30000,1,0,mercari,fromjapan,small-packet-air,37902,,true,outsourced-packing,Outsourced packing,none,,https://www.fromjapan.co.jp/translate/en_help.txt,buyee,38187
AU,500,60000,1,0,mercari,buyee,small-packet-air,72383,72383,false,,,,,,zenmarket,72501
AU,500,100000,1,0,mercari,buyee,small-packet-air,117979,117979,false,,,,,,zenmarket,118096
AU,500,150000,1,0,mercari,fromjapan,courier-ecms,188973,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,buyee,189001
AU,500,250000,1,0,mercari,fromjapan,courier-ecms,304900,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,305229
AU,1000,3000,1,0,mercari,fromjapan,courier-ecms,7898,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,7932
AU,1000,10000,1,0,mercari,fromjapan,courier-ecms,15878,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,15911
AU,1000,30000,1,0,mercari,fromjapan,courier-ecms,38676,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,38709
AU,1000,60000,1,0,mercari,fromjapan,courier-ecms,72873,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,72906
AU,1000,100000,1,0,mercari,fromjapan,courier-ecms,118468,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,118502
AU,1000,150000,1,0,mercari,fromjapan,courier-ecms,189255,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,189707
AU,1000,250000,1,0,mercari,fromjapan,courier-ecms,305182,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,305634
AU,2000,3000,1,0,mercari,fromjapan,courier-ecms,8295,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,8495
AU,2000,10000,1,0,mercari,fromjapan,courier-ecms,16275,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,16475
AU,2000,30000,1,0,mercari,fromjapan,courier-ecms,39073,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,39273
AU,2000,60000,1,0,mercari,fromjapan,courier-ecms,73269,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,73469
AU,2000,100000,1,0,mercari,fromjapan,courier-ecms,118865,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,119065
AU,2000,150000,1,0,mercari,fromjapan,courier-ecms,189651,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,190326
AU,2000,250000,1,0,mercari,fromjapan,courier-ecms,305577,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,306253
AU,3000,3000,1,0,mercari,fromjapan,courier-ecms,8578,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,9006
AU,3000,10000,1,0,mercari,fromjapan,courier-ecms,16558,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,16985
AU,3000,30000,1,0,mercari,fromjapan,courier-ecms,39355,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,39783
AU,3000,60000,1,0,mercari,fromjapan,courier-ecms,73552,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,73980
AU,3000,100000,1,0,mercari,fromjapan,courier-ecms,119148,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,119576
AU,3000,150000,1,0,mercari,fromjapan,courier-ecms,189933,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,190886
AU,3000,250000,1,0,mercari,fromjapan,courier-ecms,305859,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,306813
AU,5000,3000,1,0,mercari,fromjapan,courier-ecms,10180,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,10768
AU,5000,10000,1,0,mercari,fromjapan,courier-ecms,18160,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,18747
AU,5000,30000,1,0,mercari,fromjapan,courier-ecms,40958,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,41545
AU,5000,60000,1,0,mercari,fromjapan,courier-ecms,75154,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,75742
AU,5000,100000,1,0,mercari,fromjapan,courier-ecms,120750,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,121338
AU,5000,150000,1,0,mercari,fromjapan,courier-ecms,191530,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,192818
AU,5000,250000,1,0,mercari,fromjapan,courier-ecms,307456,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,308745
AU,8000,3000,1,0,mercari,fromjapan,courier-ecms,10180,,true,outsourced-packing;courier-destination-fees,Outsourced packing;Destination-side courier fees (unpublished),none;none,;,https://www.fromjapan.co.jp/translate/en_help.txt;,zenmarket,10768
