country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow
AU,500,250000,1,0,mercari,fromjapan,courier-ecms,304900,304900,false,,,,,,zenmarket,305229
AU,1000,3000,1,0,mercari,fromjapan,courier-ecms,7898,7898,false,,,,,,zenmarket,7932
AU,1000,10000,1,0,mercari,fromjapan,courier-ecms,15878,15878,false,,,,,,zenmarket,15911
AU,1000,30000,1,0,mercari,fromjapan,courier-ecms,38676,38676,false,,,,,,zenmarket,38709
AU,1000,60000,1,0,mercari,fromjapan,courier-ecms,72873,72873,false,,,,,,zenmarket,72906
AU,1000,100000,1,0,mercari,fromjapan,courier-ecms,118468,118468,false,,,,,,zenmarket,118502
AU,1000,150000,1,0,mercari,fromjapan,courier-ecms,189255,189255,false,,,,,,zenmarket,189707
AU,1000,250000,1,0,mercari,fromjapan,courier-ecms,305182,305182,false,,,,,,zenmarket,305634
AU,2000,3000,1,0,mercari,fromjapan,courier-ecms,8295,8543,false,,,,,,zenmarket,8495
AU,2000,10000,1,0,mercari,fromjapan,courier-ecms,16275,16523,false,,,,,,zenmarket,16475
AU,2000,30000,1,0,mercari,fromjapan,courier-ecms,39073,39321,false,,,,,,zenmarket,39273
AU,2000,60000,1,0,mercari,fromjapan,courier-ecms,73269,73517,false,,,,,,zenmarket,73469
AU,2000,100000,1,0,mercari,fromjapan,courier-ecms,118865,119113,false,,,,,,zenmarket,119065
AU,2000,150000,1,0,mercari,fromjapan,courier-ecms,189651,189899,false,,,,,,zenmarket,190326
AU,2000,250000,1,0,mercari,fromjapan,courier-ecms,305577,305825,false,,,,,,zenmarket,306253
AU,3000,3000,1,0,mercari,fromjapan,courier-ecms,8578,9984,false,,,,,,zenmarket,9006
AU,3000,10000,1,0,mercari,fromjapan,courier-ecms,16558,17964,false,,,,,,zenmarket,16985
AU,3000,30000,1,0,mercari,fromjapan,courier-ecms,39355,40761,false,,,,,,zenmarket,39783
AU,3000,60000,1,0,mercari,fromjapan,courier-ecms,73552,74958,false,,,,,,zenmarket,73980
AU,3000,100000,1,0,mercari,fromjapan,courier-ecms,119148,120554,false,,,,,,zenmarket,119576
AU,3000,150000,1,0,mercari,fromjapan,courier-ecms,189933,191339,false,,,,,,zenmarket,190886
AU,3000,250000,1,0,mercari,fromjapan,courier-ecms,305859,307265,false,,,,,,zenmarket,306813
AU,5000,3000,1,0,mercari,fromjapan,courier-ecms,10180,14017,false,,,,,,zenmarket,10768
AU,5000,10000,1,0,mercari,fromjapan,courier-ecms,18160,21997,false,,,,,,zenmarket,18747
AU,5000,30000,1,0,mercari,fromjapan,courier-ecms,40958,44795,false,,,,,,zenmarket,41545
AU,5000,60000,1,0,mercari,fromjapan,courier-ecms,75154,78991,false,,,,,,zenmarket,75742
AU,5000,100000,1,0,mercari,fromjapan,courier-ecms,120750,124587,false,,,,,,zenmarket,121338
AU,5000,150000,1,0,mercari,fromjapan,courier-ecms,191530,195367,false,,,,,,zenmarket,192818
AU,5000,250000,1,0,mercari,fromjapan,courier-ecms,307456,311293,false,,,,,,zenmarket,308745
AU,8000,3000,1,0,mercari,fromjapan,courier-ecms,10180,14017,false,,,,,,zenmarket,10768
AU,8000,10000,1,0,mercari,fromjapan,courier-ecms,18160,21997,false,,,,,,zenmarket,18747
AU,8000,30000,1,0,mercari,fromjapan,courier-ecms,40958,44795,false,,,,,,zenmarket,41545
AU,8000,60000,1,0,mercari,fromjapan,courier-ecms,75154,78991,false,,,,,,zenmarket,75742
